sample_key,row,col,u,v,n_supporting_detections,median_area_frac
CG CL 1,0,2,2.5534401028154914,0.9525961100870015,1,0.0007019658533475516
CG CL 1,0,2,2.931695129993052,0.9480731200573984,2,0.0005029096614847974
CG CL 1,1,1,1.811011150767688,1.0427371830688903,1,0.0008979865067351698
CG CL 1,1,3,3.4269453199147963,1.0410676212787633,1,0.0011973153423135597
CG CL 1,1,1,1.3797899848033837,1.045728042417056,1,0.0009430182784593524
CG CL 1,1,2,2.9346451680852064,1.0494700184090664,2,0.0007627841332164978
CG CL 1,1,2,2.8868512388869974,1.056458573288315,2,0.0007625902501138719
CG CL 1,1,0,0.451989453951195,1.0504735029895458,1,0.0010966560878712694
CG CL 1,1,3,3.9123330286094324,1.050972672943402,1,0.0006039555266537425
CG CL 1,1,0,0.23477162370230564,1.0561848694853126,1,0.0009191779287230204
CG CL 1,1,2,2.389491585069356,1.0560177293531963,1,0.0008052740355383234
CG CL 1,1,1,1.9197097127202165,1.058600514591555,1,0.0006595830093718505
CG CL 1,1,2,2.835010998225542,1.063973755893539,1,0.0008741461569988379
CG CL 1,1,3,3.7517532132207285,1.0659556833159343,1,0.0009695075559441657
CG CL 1,1,0,0.1400431853376752,1.0694594207739943,1,0.0010807625213803814
CG CL 1,1,1,1.4995186413148527,1.068737685609535,1,0.0008688483015018752
CG CL 1,1,2,2.6013832079946,1.0673718886245738,1,0.0008741461569988379
CG CL 1,1,2,2.635034035218013,1.06621974405836,1,0.000680774431359701
CG CL 1,1,2,2.225295826778537,1.0678134110585737,1,0.0007099126365929956
CG CL 1,1,3,3.1774484629222526,1.0726840081400308,1,0.0007575933360656595
CG CL 1,1,1,1.0749105425839138,1.0735736219539544,1,0.0007708379748080661
CG CL 1,1,1,1.1249202812842964,1.0762796324390536,1,0.0009933479056804975
CG CL 1,1,1,1.1607849204324905,1.0735624360248353,1,0.0007708379748080661
CG CL 1,1,0,0.29920216599364496,1.077808010421187,1,0.0006913701423536264
CG CL 1,1,0,0.83554825968032,1.0805140100049884,1,0.0010781135936319
CG CL 1,1,1,1.80717944572091,1.0766011366928872,1,0.0007231572753354023
CG CL 1,1,2,2.1844452104025724,1.0758695675982406,1,0.0006595830093718505
CG CL 1,1,2,2.422608457028827,1.0775331048890373,1,0.0007496465528202156
CG CL 1,1,3,3.283515795116892,1.0785625463411455,1,0.000964209700447203
CG CL 1,1,0,0.6099113029685199,1.0796905531538157,1,0.0008026251077898421
CG CL 1,1,0,0.7208195126409965,1.0874123640759068,1,0.001101953943368232
CG CL 1,1,3,3.6416652003207415,1.0887136527287746,1,0.0010728157381349375
CG CL 1,1,2,2.092960105428585,1.083199707627709,1,0.0004741580669781575
CG CL 1,1,1,1.2526772750494655,1.0895330755278423,1,0.0008370611685200993
CG CL 1,1,2,2.806490356778476,1.0895702276798924,1,0.0007946783245443981
CG CL 1,1,0,0.22098363063274257,1.094386344300668,1,0.0006489872983779251
CG CL 1,1,3,3.316207587514369,1.0938050877405259,1,0.0007178594198384396
CG CL 1,1,0,0.05756767822227509,1.0949663046334848,1,0.00043707307849941894
CG CL 1,1,0,0.4849201461193901,1.0960141472402403,1,0.0007734869025565475
CG CL 1,1,2,2.280334392302551,1.1043681757540176,2,0.0008192040285039659
CG CL 1,1,1,1.6664313383507268,1.0987923799181627,1,0.0007337529863293275
CG CL 1,1,1,1.575611846540179,1.0997334465255961,1,0.0006781255036112197
CG CL 1,1,0,0.7649073759643297,1.09955878572925,1,0.0005324344774447467
CG CL 1,1,3,3.7069901312848548,1.1036664757775012,1,0.0008052740355383234
CG CL 1,1,0,0.6187101434723241,1.1105580412283595,1,0.001101953943368232
CG CL 1,1,1,1.5480907186508426,1.1095264259333604,2,0.0006390318525136018
CG CL 1,1,0,0.32968407244938625,1.1155598194294332,1,0.000948316133956315
CG CL 1,1,2,2.2301297143165617,1.1094610081192406,1,0.0005165409109538588
CG CL 1,1,2,2.4721321311304907,1.1121093855821766,2,0.0008530505775862157
CG CL 1,1,2,2.9048307751430653,1.1181612102976837,1,0.000842359024017062
CG CL 1,1,0,0.10042258736226181,1.1167066264385432,1,0.00047945592247512016
CG CL 1,1,3,3.637535146767826,1.1189744769557777,1,0.0006383915873839998
CG CL 1,1,3,3.220745916987462,1.1276625557981168,1,0.0006622319371203317
CG CL 1,1,0,0.8117919888036969,1.1289462989768493,1,0.000980103266938091
CG CL 1,1,3,3.2011369210973446,1.1249176580518752,1,0.0005721683936719666
CG CL 1,1,3,3.4324389701044233,1.127197650160037,1,0.0005854130324143733
CG CL 1,1,3,3.3182604348215934,1.1319636886138873,1,0.0006436894428809624
CG CL 1,1,3,3.5943186923722665,1.1284975569917703,2,0.0006210439541259299
CG CL 1,1,3,3.093012455750872,1.1304235472103492,1,0.0004688602114811949
CG CL 1,1,1,1.4522578240483304,1.1393681084782332,1,0.0008900397234897258
CG CL 1,1,2,2.8800138868694116,1.137270696831188,1,0.0004450198617448629
CG CL 1,1,1,1.9118458250215036,1.1411902932728784,1,0.0007178594198384396
CG CL 1,1,2,2.7507910212568363,1.1409625393158442,1,0.0006860722868566637
CG CL 1,1,3,3.754233447591365,1.1411367528335445,1,0.0006224980208931119
CG CL 1,1,3,3.5435946181894975,1.1442894240402053,1,0.0008211676020292113
CG CL 1,1,3,3.813364314541848,1.141474735362617,1,0.0006516362261264065
CG CL 1,1,1,1.7929581376134314,1.146852921485276,2,0.000869268785551268
CG CL 1,1,1,1.6219352133175746,1.1479848854121577,1,0.0008661993737533939
CG CL 1,1,0,0.3077521180585633,1.1536698198060096,1,0.0010065925444229043
CG CL 1,1,1,1.3963570081868364,1.1540465251895051,1,0.001125794293104564
